event,block,n_fire,peak_utc,SS_M2,SS_B6,M2_wins,worst_day_M2,worst_day_share_M2,worst_day_is_postpeak,postpeak_n,postpeak_bias_M2,postpeak_bias_B6,postpeak_dAE,total_dAE,rest_dAE,decided_by_postpeak
al_delvine_2025_0724,A2025,136,2025-07-25 13:00:00,0.4400708079338074,0.369931161403656,True,2025-07-26,0.7054884805154696,True,23,-529.4298095703125,-657.5964965820312,2608.13037109375,2302.08203125,-306.04833984375,True
al_finiq_2025_0806,A2025,211,2025-08-12 14:00:00,0.2192482352256775,0.25437450408935547,False,2025-08-12,0.4067096260461733,False,24,1324.8719482421875,-1716.6292724609375,-42283.34375,-17070.150390625,25213.193359375,True
al_tirane_2025_0722,A2025,134,2025-07-22 13:00:00,0.39881813526153564,0.3822798728942871,True,2025-07-25,0.4688683984185838,False,1,0.2542375326156616,1.4441993236541748,1.1899617910385132,1486.777587890625,1485.5876260995865,False
ba_n_a_2025_0706,A2025,144,2025-07-09 19:00:00,0.37579429149627686,0.37375569343566895,True,2025-07-14,0.2944818051028925,False,0,,,0.0,61.08053970336914,61.08053970336914,False
ba_n_a_2025_0811,A2025,125,2025-08-21 07:00:00,0.2117345929145813,0.3444485664367676,False,2025-08-21,0.4281659147919151,False,0,,,0.0,-1765.654296875,-1765.654296875,False
cy_n34e32_2025_0723,A2025,118,2025-07-23 14:00:00,0.33237117528915405,0.34159237146377563,False,2025-07-27,0.22477321302696152,False,1,4.044482707977295,1.1541578769683838,-2.890324831008911,-271.9792175292969,-269.08889269828796,False
es_avila_2025_0808,A2025,47,2025-08-15 17:00:00,0.39712291955947876,0.39381730556488037,True,2025-08-15,0.9787365506048898,False,0,,,0.0,117.6198959350586,117.6198959350586,False
es_buron_2025_0810,A2025,291,2025-08-16 17:00:00,0.012400984764099121,-0.11455917358398438,True,2025-08-16,0.3827094164857474,False,24,-6439.35791015625,-7577.51416015625,25302.169921875,117013.3125,91711.142578125,False
es_caceres_2025_0808,A2025,107,2025-08-15 18:00:00,0.4203157424926758,0.3692336082458496,True,2025-08-15,0.4236564397990618,False,21,300.50079345703125,604.841064453125,5806.1630859375,17380.9296875,11574.7666015625,False
es_carballeda_de_avia_2025_0815,A2025,104,2025-08-16 16:00:00,0.32645052671432495,0.3508577346801758,False,2025-08-17,0.7043310634692553,True,23,-2038.8944091796875,-1795.6754150390625,2057.23291015625,-2455.2470703125,-4512.47998046875,False
es_llerena_2025_0814,A2025,41,2025-08-14 16:00:00,-0.08358538150787354,-0.11714744567871094,True,2025-08-16,0.7059541840656631,False,1,0.0,2.2621920108795166,2.2621920108795166,69.231689453125,66.96949744224548,False
es_murias_de_paredes_2025_0821,A2025,169,2025-08-25 13:00:00,0.1204519271850586,0.06028169393539429,True,2025-08-26,0.30053488522661975,True,24,-6382.54296875,-6548.31201171875,3978.460693359375,34868.51171875,30890.051025390625,False
es_navaconcejo_2025_0812,A2025,200,2025-08-17 18:00:00,-0.1742568016052246,-0.04565870761871338,False,2025-08-17,0.25521130589276475,False,24,-3296.3525390625,-3194.567138671875,-3.631561279296875,-73875.484375,-73871.8528137207,False
es_oimbra_2025_0813,A2025,220,2025-08-16 14:00:00,0.26343709230422974,0.2316703200340271,True,2025-08-16,0.36512216634985817,False,24,-4653.14013671875,-4233.1630859375,-4604.390625,76462.1484375,81066.5390625,False
es_peranzanes_2025_0810,A2025,181,2025-08-17 19:00:00,-0.051927804946899414,-0.039238810539245605,False,2025-08-15,0.2942155111824267,False,24,-6699.80615234375,-6223.986328125,-11399.720703125,-11017.2685546875,382.4521484375,True
es_puertas_2025_0813,A2025,66,2025-08-15 18:00:00,0.4436442255973816,0.4251171350479126,True,2025-08-15,0.9503399730847252,False,24,-196.329833984375,93.46578979492188,6495.1962890625,3520.738525390625,-2974.457763671875,True
es_rua_a_2025_0808,A2025,397,2025-08-17 18:00:00,0.09669607877731323,0.04824727773666382,True,2025-08-16,0.1981908698069562,False,24,-32892.35546875,-32543.228515625,-8387.9345703125,335750.25,344138.1845703125,False
es_una_de_quintana_2025_0810,A2025,179,2025-08-17 19:00:00,0.2080797553062439,0.23625022172927856,False,2025-08-17,0.30513576083264626,False,24,-2024.5191650390625,-1838.8372802734375,-1770.8623046875,-17607.9140625,-15837.0517578125,False
es_valmojado_2025_0717,A2025,27,2025-07-17 16:00:00,0.4731000065803528,0.42509859800338745,True,2025-07-20,0.9852439358792192,False,0,,,0.0,286.4051513671875,286.4051513671875,False
es_villablino_2025_0809,A2025,181,2025-08-17 19:00:00,-0.10652339458465576,-0.10447478294372559,False,2025-08-15,0.3639676293029529,False,12,-4453.14111328125,-4425.48193359375,-317.83233642578125,-1345.57763671875,-1027.7453002929688,False
fr_coustouge_2025_0805,A2025,133,2025-08-05 18:00:00,0.43866801261901855,0.3192410469055176,True,2025-08-09,0.28034101113636234,False,1,0.0,1.3929598331451416,1.3929598331451416,6863.349609375,6861.956649541855,False
gr_n37e21_2025_0808,A2025,132,2025-08-12 13:00:00,0.4309167265892029,0.3979353904724121,True,2025-08-12,0.7925141960201351,False,20,-592.1893920898438,-942.8721923828125,4198.326171875,5765.095703125,1566.76953125,False
it_custonaci_2025_0720,A2025,183,2025-07-25 12:00:00,0.36849236488342285,0.3545072674751282,True,2025-07-25,0.5901948848424318,False,14,-119.22351837158203,-120.09835052490234,-16.45064353942871,474.64453125,491.0951747894287,False
it_niscemi_2025_0716,A2025,197,2025-07-24 14:00:00,0.4365484118461609,0.43218082189559937,True,2025-07-24,0.35971184639667986,False,24,-644.7777709960938,-641.560546875,-40.342445373535156,410.9028015136719,451.24524688720703,False
me_n_a_2025_0810,A2025,130,2025-08-11 10:00:00,0.3591760993003845,0.3882749080657959,False,2025-08-12,0.3980985388960624,True,24,-145.04209899902344,-167.52438354492188,-246.14576721191406,-1166.6146240234375,-920.4688568115234,False
mk_jegunovce_2025_0811,A2025,147,2025-08-21 14:00:00,0.3754940629005432,0.3872114419937134,False,2025-08-21,0.5258525857060381,False,0,,,0.0,-720.6804809570312,-720.6804809570312,False
mk_makedonski_brod_2025_0702,A2025,181,2025-07-07 14:00:00,0.42150235176086426,0.4171544313430786,True,2025-07-07,0.8463842078237326,False,9,-197.5354766845703,-177.62860107421875,144.22528076171875,251.57374572753906,107.34846496582031,False
