event,block,fire_slots,duration_days,complete_days,gap_rate,sat_rate,peak_frp_mw,verdict,failed_criteria
es_rua_a_2025_0808,test_A_2025,228,11,11,0.0,0.0177,145235.2,PASS,
es_una_de_quintana_2025_0810,test_A_2025,166,11,11,0.0,0.0202,29807.7,PASS,
es_oimbra_2025_0813,test_A_2025,198,11,11,0.0,0.018,80110.1,PASS,
es_peranzanes_2025_0810,test_A_2025,214,11,11,0.0,0.0096,28507.2,PASS,
es_murias_de_paredes_2025_0821,test_A_2025,195,11,11,0.0,0.006,17220.6,PASS,
es_villablino_2025_0809,test_A_2025,193,11,11,0.0,0.0074,22020.4,PASS,
es_carballeda_de_avia_2025_0815,test_A_2025,80,11,11,0.0,0.0028,17442.0,PASS,
pt_trancoso_sao_pedro_2025_0808,test_A_2025,225,11,11,0.0,0.0154,137281.5,PASS,
pt_real_2025_0728,test_A_2025,187,11,11,0.0,0.0065,23557.1,PASS,
pt_entre_ambos_os_rio_2025_0726,test_A_2025,143,11,11,0.0,0.0014,11757.9,PASS,
pt_pena_quinta_e_vila_2025_0803,test_A_2025,190,11,11,0.0,0.0067,14643.7,PASS,
pt_ervededo_2025_0819,test_A_2025,121,11,11,0.0,0.0135,37839.0,PASS,
pt_vale_das_fontes_2025_0828,test_A_2025,26,11,11,0.0,0.0166,13797.1,PASS,
pt_lousa_e_vilarinho_2025_0814,test_A_2025,189,11,11,0.0,0.0142,76800.3,PASS,
