event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
mk_jegunovce_2025_0811,229,147,True,True,True,False,A2025,1.0043360991426216,mid,237.34295654296875,261.0021667480469,261.29669189453125,257.5894470214844,182.1793212890625,247.8430633544922,256.3940734863281,250.1307373046875,210.4349822998047,245.32769775390625,262.9083251953125,263.4059753417969,267.6367492675781,363.2544250488281,418.40545654296875,466.3890686035156,0.11318995917979191,0.3193037884833855,0.21372912025091217,0.28148936736844055,0.3177149505579251,0.32463947900722845,0.37549406249749273,0.3872114489023224,0.37164221669677777,0.4476940726917743,0.4636865352491196,0.435222664779645,125,0.4115889342192628,0.4320555390598031,22,0.322212019512655,0.3210139669724128
mk_makedonski_brod_2025_0702,349,181,True,True,True,False,A2025,0.9756040185719405,mid,157.5753936767578,179.67979431152344,184.927490234375,184.61329650878906,138.3856964111328,179.26998901367188,186.3173828125,184.81211853027344,147.50015258789062,181.79454040527344,191.3984375,188.43405151367188,180.56077575683594,274.87237548828125,319.66851806640625,335.59002685546875,0.12729997411526905,0.23357830164897486,0.18309969610159726,0.346315561931818,0.3478064549221507,0.3386220056404906,0.42150233825665895,0.41715442002394676,0.40125965904393535,0.4498844371549279,0.44929198205920473,0.43849925076937324,142,0.6510346040337869,0.6511296993870465,39,0.22632149271898705,0.21819547195176214
mk_vasilevo_2025_0701,565,385,True,True,True,False,A2025,0.9246789573678716,mid,184.06753540039062,208.73599243164062,234.93287658691406,243.2467498779297,145.8125457763672,206.46070861816406,235.02093505859375,239.9051513671875,156.77310180664062,198.14955139160156,233.68336486816406,246.31137084960938,174.695068359375,250.56805419921875,320.6849060058594,370.792724609375,-0.05365043861304075,0.16533107004252667,0.10258999707917393,0.16694890296876697,0.17602940535263256,0.20919866650654872,0.26740276144265585,0.2671281664429208,0.2712991460100267,0.3439818698325682,0.3529939088747649,0.3357168183138033,333,0.23397834440594345,0.23347496465674367,52,0.41753372936604183,0.41828634915346596
pt_entre_ambos_os_rio_2025_0726,181,168,True,True,True,False,A2025,1.129784777885202,high,931.4756469726562,1039.6583251953125,1197.1419677734375,1153.4154052734375,656.9616088867188,877.0465087890625,1136.9669189453125,1059.0555419921875,872.375,1082.4287109375,1117.331298828125,1137.34765625,987.0969848632812,1276.5784912109375,1567.4935302734375,1635.8154296875,0.05634840217684267,0.3344507997076783,0.11622159384791442,0.1855899716678503,0.31297094943444237,0.15208605002366193,0.2362699145784639,0.2746592588825696,0.28718602198427257,0.2948988105010223,0.3525824963061356,0.3047212811366655,141,0.16959987972710378,0.24403057885743995,27,0.5977350201241616,0.4407191796758867
pt_ervededo_2025_0819,181,130,True,False,False,False,A2025,1.2680483097791828,high,320.72723388671875,406.8399658203125,642.8981323242188,801.763671875,242.42044067382812,387.600830078125,642.8202514648438,799.7340087890625,303.75408935546875,388.73101806640625,650.9990234375,810.6318359375,333.71307373046875,416.4407653808594,843.1284790039062,1092.8070068359375,0.03891318880194161,0.27356624670442276,0.08977467990719801,0.02305441819982823,0.06925339135893327,0.06653946879842787,0.23748497609313923,0.2375773473761814,0.22787684243971096,0.2663263807244527,0.2681836739823118,0.2582113485119705,106,0.20211369006190572,0.20351840046357828,24,0.2945856609014742,0.2925596712408486
pt_lazarim_2025_0908,445,329,True,True,True,False,A2025,1.13065829306105,high,216.15676879882812,233.2632293701172,242.54739379882812,231.16452026367188,193.12310791015625,231.98753356933594,251.83045959472656,244.1083984375,226.81182861328125,243.29405212402344,251.63803100585938,250.96490478515625,262.4534912109375,354.31915283203125,403.79510498046875,430.6486511230469,0.17639972018851924,0.26416254926119254,0.1358018231466792,0.3416578598541127,0.34525827431261646,0.3133477256891062,0.3993305247953416,0.3763409796488063,0.37681752972703597,0.46321782348362095,0.4331611214828762,0.41723977509115795,249,0.4104676262333984,0.36624911608048993,80,0.3723027325307451,0.40083213647904803
pt_lousa_e_vilarinho_2025_0814,181,172,True,False,False,False,A2025,0.9570809630795861,mid,2102.3291015625,2376.72705078125,2674.365966796875,2450.08349609375,1269.4921875,2233.3056640625,2611.301513671875,2569.232421875,1620.3076171875,2174.30322265625,2567.41064453125,2616.275390625,1903.608642578125,2930.992431640625,4159.533203125,4542.2548828125,-0.10439144608801576,0.33311282628939864,0.14882314518542017,0.18910501947257663,0.23803772403042145,0.2581682575552806,0.35705141990748845,0.3722128454918835,0.38276471922320765,0.46060193465482213,0.43437070614492523,0.4240139626411631,105,0.18954562991052104,0.24576704791787418,67,0.47262413638416734,0.4594555235672796
pt_medelim_2025_0728,205,120,True,True,True,False,A2025,0.8609322089469356,mid,89.40425109863281,127.93434143066406,144.69837951660156,70.61337280273438,80.34626007080078,125.02816009521484,176.57608032226562,71.65922546386719,124.72354888916016,201.1297149658203,220.43463134765625,94.65504455566406,108.99166870117188,182.6091766357422,233.03414916992188,154.03001403808594,0.17971481523273947,0.2628220025597525,-0.14434020852659102,0.29940902320664964,0.31532378383911397,-0.10142172847655839,0.3790679175905175,0.24227379999353071,0.05406725952889602,0.5415609532745074,0.5347710255603269,0.3854766218987725,101,0.19183948663133132,0.028578176520064225,19,0.8557853670254725,0.7863813323129358
pt_pena_quinta_e_vila_2025_0803,181,174,True,False,False,False,A2025,0.9140636105069819,mid,1115.392822265625,1325.397216796875,1340.1912841796875,1346.850830078125,649.5843505859375,1272.9063720703125,1457.0511474609375,1390.7647705078125,881.4110717773438,1250.6904296875,1385.8609619140625,1394.3619384765625,927.7086181640625,1478.3414306640625,2058.229248046875,2429.159423828125,-0.2023094325381929,0.2997970075221825,0.0499052671067578,0.1034566242241387,0.1389632018237288,0.15399081447260998,0.3488619960816117,0.29208510235505414,0.32667317635819526,0.4455486054696173,0.4274707716317363,0.4259899433528409,129,0.23684157711164577,0.14179572147893038,45,0.6115859538123575,0.6445624371814689
pt_real_2025_0728,229,223,True,False,False,True,A2025,0.7077307730046817,low,1455.5869140625,1882.938232421875,2131.8974609375,2212.6728515625,930.2877197265625,1775.0953369140625,2205.1513671875,1811.35498046875,1256.0751953125,1782.401123046875,1953.85693359375,1868.045654296875,1317.3363037109375,1970.8228759765625,2260.9423828125,2393.8193359375,-0.10494708903270222,0.2938115217003121,0.04650377297419417,0.04459286759148251,0.09931259751869637,0.09560562505462222,0.0570757233160778,0.024676000613336635,0.13582188186359312,0.07567257965357566,0.24332009802261767,0.21963799596209477,146,-0.07918777890246442,-0.12760804655887514,77,0.28783072497231765,0.28256153042592413
